Module  ExpectedPeak    MeasuredPeak    oldFactor       Ratio           Sigma           Chi2/ndf        
W340    3463.21         3478            0.142472        0.995749        40.9341         0.896573        
W341    3464.19         3511.33         0.142899        0.986575        47.6355         2.98865         
W342    3466.43         2798.01         0.103356        1.23889         87.1705         0.812797        
W343    3468.53         3489.49         0.136417        0.993994        189.474         1.98075         
W344    3470.5          3455.35         0.140175        1.00438         103.408         2.62531         
W345    3472.33         3474.18         0.141622        0.999467        43.8126         1.918           
W346    3474.02         3482.17         0.144754        0.997659        81.7055         3.04327         
W347    3475.57         3498.23         0.123274        0.993522        32.1623         0.707843        
W348    3476.98         3474.84         0.133874        1.00062         64.3974         0.769892        
W349    3478.25         3479.9          0.13147         0.999528        57.8979         0.386787        
W350    3479.39         3477.6          0.140826        1.00052         72.1459         1.13018         
W351    3480.38         3480.12         0.143631        1.00007         75.5358         0.555211        
W352    3481.23         3480.91         0.136034        1.00009         53.468          1.94712         
W353    3481.94         3478.36         0.11951         1.00103         70.5729         1.5211          
W354    3482.51         3480.84         0.147443        1.00048         71.5204         1.19217         
W355    3482.93         3480.16         0.136866        1.0008          82.2204         1.86783         
W356    3483.22         3484.52         0.136437        0.999626        68.9213         0.41698         
W357    3483.36         3483.2          0.136547        1.00004         70.1332         1.18183         
W358    3483.36         3483.2          0.143121        1.00005         71.7304         0.485904        
W359    3483.22         3482.81         0.140069        1.00012         69.2727         2.99938         
W360    3482.93         3482.93         0.135846        1               69.7263         1.68876         
W361    3482.51         3483.13         0.151884        0.999821        69.7118         2.22143         
W362    3481.94         3484.47         0.133445        0.999273        70.6314         1.01474         
W363    3481.23         3480.97         0.134072        1.00007         67.5236         0.733682        
W364    3480.38         3485.46         0.1287          0.998543        51.0379         0.957779        
W365    3479.39         3468.39         0.14155         1.00317         72.8009         2.32365         
W366    3478.25         3462.83         0.15714         1.00445         94.6362         0.687556        
W367    3476.98         3290.8          0.132447        1.05658         73.8977         2.11401         
W368    3475.57         3462.59         0.139956        1.00375         48.2767         1.43842         
W369    3474.02         3476.34         0.137374        0.999331        49.402          1.19625         
W370    3472.33         3470.58         0.123514        1.0005          39.3236         0.526897        
W371    3470.5          3472.1          0.136427        0.999538        41.8334         1.38475         
W372    3468.53         3477.77         0.133031        0.997343        17.527          0.382575        
W373    3466.43         3479.65         0.132081        0.996201        28.4375         1.77754         
W374    3464.19         3475.21         0.143676        0.996829        37.9484         2.13845         
W375    3465.03         3466.5          0.142157        0.999576        95.5823         1.71659         
W376    3467.27         3482.75         0.135111        0.995555        74.4054         0.643467        
W377    3469.37         1950.39         0.0410267       1.77881         55.5632         2.4464          
W378    3471.34         3520.47         0.136837        0.986045        18.2121         0.419842        
W379    3473.17         3471.49         0.139564        1.00048         37.5283         0.766952        
W380    3474.86         3482.24         0.139235        0.99788         30.5898         5.01032         
W381    3476.42         3466.26         0.132187        1.00293         66.9552         1.13275         
W382    3477.83         3474.55         0.138067        1.00094         63.1724         0.345426        
W383    3479.1          3478.1          0.138259        1.00029         78.7177         0.222134        
W384    3480.23         3481.76         0.1391          0.999563        80.546          3.23565         
W385    3481.23         3481.01         0.136484        1.00006         70.3579         0.795531        
W386    3482.08         3481.37         0.142836        1.0002          63.5732         1.44631         
W387    3482.79         3482.59         0.144249        1.00006         75.8037         5.72572         
W388    3483.36         3488.08         0.129398        0.998645        61.1245         1.85189         
W389    3483.78         3484.02         0.130282        0.999931        66.9219         0.300091        
W390    3484.07         3488            0.136012        0.998871        75.8762         2.92929         
W391    3484.21         3484.55         0.136637        0.999903        64.8439         3.00203         
W392    3484.21         3484.59         0.132312        0.999889        80.2368         1.11111         
W393    3484.07         3483.89         0.139489        1.00005         82.9258         2.30858         
W394    3483.78         3483.42         0.13715         1.0001          70.832          2.01085         
W395    3483.36         3483.21         0.13495         1.00004         71.1906         1.74154         
W396    3482.79         3483.17         0.13646         0.999892        73.7152         2.28034         
W397    3482.08         3481.92         0.121695        1.00004         69.6443         0.942116        
W398    3481.23         3482.98         0.109675        0.999497        69.8805         0.327587        
W399    3480.23         3477.53         0.148439        1.00078         73.933          1.97836         
W400    3479.1          3496.96         0.129089        0.994893        56.8731         0.992554        
W401    3477.83         3451.53         0.134767        1.00762         64.2524         0.68859         
W402    3476.42         3475.99         0.125622        1.00012         76.1813         0.113677        
W403    3474.86         3471.11         0.13341         1.00108         59.7694         0.755111        
W404    3473.17         3465.02         0.134289        1.00235         47.0056         1.35186         
W405    3471.34         3471.21         0.14424         1.00004         35.1597         0.985825        
W406    3469.37         3465.97         0.137655        1.00098         32.4825         0.538939        
W407    3467.27         3471.56         0.139646        0.998764        55.9442         1.24442         
W408    3465.03         3468.33         0.147105        0.999048        84.5506         4.59163         
